"Water Control Zone","Station","Dates","Sample No","Depth","5-day Biochemical Oxygen Demand (mg/L)","Ammonia Nitrogen (mg/L)","Chlorophyll-a (μg/L)","Dissolved Oxygen (%saturation)","Dissolved Oxygen (mg/L)","E. coli (cfu/100mL)","Faecal Coliforms (cfu/100mL)","Nitrate Nitrogen (mg/L)","Nitrite Nitrogen (mg/L)","Orthophosphate Phosphorus (mg/L)","pH","Phaeo-pigments (μg/L)","Salinity (psu)","Secchi Disc Depth (M)","Silica (mg/L)","Suspended Solids (mg/L)","Temperature (°C)","Total Inorganic Nitrogen (mg/L)","Total Kjeldahl Nitrogen (mg/L)","Total Nitrogen (mg/L)","Total Phosphorus (mg/L)","Turbidity (NTU)","Unionised Ammonia (mg/L)","Volatile Suspended Solids (mg/L)"
"Deep Bay","DM1","1987-02-12","1","Surface Water","2.4","0.038","1.1","48","3.6","1300","1300","3.6","0.55","0.85","7.4","1.2","24.5","N/A","4.6","15","21.5","4.19","1.8","5.95","2.6","21","0.001","3"
"Deep Bay","DM1","1987-04-30","1","Surface Water","1.5","0.008","<0.2","75","5.1","10","20","0.96","0.02","0.479","7.8","6.8","17.9","N/A","4.9","13","25.7","0.99","1.1","2.08","0.59","25.3","0.001","1.5"
"Deep Bay","DM1","1987-04-30","1","Bottom Water","1.4","0.69","2.9","77","5.2","80","90","1.1","0.033","0.44","7.8","4.9","18.5","N/A","4.5","15","25.5","1.82","0.99","2.12","0.59","25.4","0.02","2"
"Deep Bay","DM1","1987-06-11","1","Surface Water","1.4","0.899","3.2","65","4.8","3500","3700","0.053","0.02","0.52","7.5","0.6","15.4","N/A","6.1","5.5","25.9","0.97","1.2","1.27","0.53","18","0.015","2"
"Deep Bay","DM1","1987-09-17","1","Surface Water","4.7","4","5.3","17","1.2",">200000",">200000","0.31","0.23","1.2","7.8","17","14","N/A","9.3","60","29.7","4.54","5.4","5.94","2.2","87","0.189","9.5"
"Deep Bay","DM1","1987-10-13","1","Surface Water","3.7","4.3","7.7","30","2.1","36000","36000","0.38","0.51","1.4","7.4","3.7","13","0.3","11","26","28.3","5.19","5.1","5.99","1.7","63","0.072","5"
"Deep Bay","DM1","1987-12-28","1","Surface Water","9.3","14","10","6","0.5","N/A","N/A","0.019","0.026","2.9","7.4","4.4","16.1","N/A","8.8","25","20.4","14.05","18","18.05","16","73","0.152","6.5"
"Deep Bay","DM2","1987-02-12","1","Surface Water","1.4","0.023","0.8","74","5.7","150","150","1.1","1.5","0.96","7.7","<0.2","26.5","0.7","3.1","4","20.8","2.62","0.71","3.31","1.4","6.5","0.001","1.5"
"Deep Bay","DM2","1987-04-30","1","Surface Water","1.5","0.289","3.2","83","5.7","80","100","1.3","0.023","0.309","7.9","11","19.8","N/A","3.4","12","25.4","1.61","0.56","1.88","0.35","8","0.01","2"
"Deep Bay","DM2","1987-06-11","1","Surface Water","1.1","0.529","3.2","54","5.5","840","870","0.055","0.018","0.38","7.6","<0.2","15.7","N/A","5.5","11","25.7","0.6","0.63","0.7","0.38","14","0.012","2"
