"Water Control Zone","Station","Dates","Sample No","Depth","5-day Biochemical Oxygen Demand (mg/L)","Ammonia Nitrogen (mg/L)","Chlorophyll-a (μg/L)","Dissolved Oxygen (%saturation)","Dissolved Oxygen (mg/L)","E. coli (cfu/100mL)","Faecal Coliforms (cfu/100mL)","Nitrate Nitrogen (mg/L)","Nitrite Nitrogen (mg/L)","Orthophosphate Phosphorus (mg/L)","pH","Phaeo-pigments (μg/L)","Salinity (psu)","Secchi Disc Depth (M)","Silica (mg/L)","Suspended Solids (mg/L)","Temperature (°C)","Total Inorganic Nitrogen (mg/L)","Total Kjeldahl Nitrogen (mg/L)","Total Nitrogen (mg/L)","Total Phosphorus (mg/L)","Turbidity (NTU)","Unionised Ammonia (mg/L)","Volatile Suspended Solids (mg/L)"
"Deep Bay","DM1","1988-01-22","1","Surface Water","1.4","0.02","1.1","38","3.1","7300","9800","0.19","0.22","0.7","7.6","0.3","24.7","N/A","4.9","88","18.4","0.43","0.85","1.26","1.3","92","0.001","15"
"Deep Bay","DM1","1988-02-25","1","Surface Water","1.9","0.96","1","93","7.2","100","100","0.44","0.15","0.34","7.9","2","29.2","N/A","2.1","15","18.2","1.55","1.5","2.09","0.38","14.5","0.022","6"
"Deep Bay","DM1","1988-03-11","1","Surface Water","1.3","2.8","1","85","7.2","2600","2600","0.47","0.26","0.96","7.5","1.8","27.5","N/A","2","27","15.9","3.53","4","4.73","1.3","6","0.02","12"
"Deep Bay","DM1","1988-04-14","1","Surface Water","4","6.5","11","31","2.5","100000","110000","0.33","0.079","1.6","7.4","4.6","20.6","N/A","6.6","46","19.9","6.91","7.9","8.31","2.4","100","0.06","7"
"Deep Bay","DM1","1988-05-20","1","Surface Water","1.6","1.3","3.7","74","4.7","1200","1200","0.68","0.19","0.51","7.8","1.3","16.9","N/A","5.3","21","28.2","2.17","1.9","2.77","0.62","24","0.058","2.5"
"Deep Bay","DM1","1988-06-07","1","Surface Water","3.5","5.5","16","46","3.4","11000","11000","0.56","0.22","1.6","7.5","7.7","15.8","N/A","10","15","27.7","6.28","6.5","7.28","1.8","22","0.111","5"
"Deep Bay","DM1","1988-07-14","1","Surface Water","1","1.2","4","55","3.8","3600","3900","0.57","0.23","0.58","7.8","2.3","14.1","0.6","7.7","17","29.6","2","1.7","2.5","0.63","23","0.05","3.5"
"Deep Bay","DM1","1988-08-08","1","Surface Water","2.7","3.6","14","30","2.1","90","100","0.65","0.2","1","7.7","7.5","12.7","0.1","7.7","48","30.5","4.45","4.4","5.25","1.3","45","0.147","8"
"Deep Bay","DM1","1988-09-12","1","Surface Water","2.5","0.68","41","114","8.1","N/A","N/A","0.82","0.41","0.35","8.4","8","9.4","0.4","2.9","30","30","1.91","1.5","2.73","0.58","26","0.116","6"
"Deep Bay","DM1","1988-10-10","1","Surface Water","2","0.8","5.1","102","7.2","1","1","0.38","0.16","0.33","8.3","1.3","25.1","1.2","3.5","9","25","1.34","1.3","1.84","0.41","4.9","0.074","3.5"
"Deep Bay","DM1","1988-10-10","1","Bottom Water","1.8","0.79","7.3","N/A","N/A","1","1","0.42","0.16","0.34","N/A","1.4","N/A","1.2","3.4","9","N/A","1.37","1.2","1.78","0.4","N/A","N/A","2.5"
"Deep Bay","DM1","1988-11-24","1","Surface Water","5.5","3.1","5","70","5.5","2600","2700","0.46","0.22","0.68","N/A","6.7","26.1","0.5","5.4","210","18.9","3.78","4","4.68","1.2","100","N/A","27"
"Deep Bay","DM1","1988-12-09","1","Surface Water","2.4","3.1","2.3","62","5.2","6000","6500","0.42","0.22","0.73","7.8","5.8","23.6","N/A","5.6","160","17","3.74","3.5","4.14","1.1","100","0.053","19"
"Deep Bay","DM2","1988-01-22","1","Surface Water","1.3","1.9","1","58","4.6","1300","1600","<0.002","0.003","0.64","7.6","<0.2","26.7","N/A","3.5","100","18.2","1.91","3.6","3.61","1.1","97","0.022","18"
"Deep Bay","DM2","1988-02-25","1","Surface Water","1.6","1.9","1","94","7.3","1100","1100","0.39","0.28","0.58","7.9","0.5","28.9","N/A","2.4","11","18.3","2.57","1.9","2.57","0.83","9","0.039","3.5"
"Deep Bay","DM2","1988-03-11","1","Surface Water","0.9","1.6","1.5","100","8.4","100","100","0.4","0.18","0.61","7.8","0.6","29.4","N/A","1.4","10","15.7","2.18","2.7","3.28","0.61","2.4","0.022","7.5"
"Deep Bay","DM2","1988-04-14","1","Surface Water","2","3.9","0.8","42","3.3","41000","42000","0.45","0.096","1.1","7.5","1.5","23.6","N/A","5.5","56","19.6","4.45","5.4","5.95","1.2","53","0.042","16"
"Deep Bay","DM2","1988-05-20","1","Surface Water","1.1","0.33","4.3","87","5.7","16","16","0.83","0.064","0.19","8","2.1","14.4","1.3","4.9","6.5","27.7","1.22","0.73","1.62","0.3","9","0.02","1.5"
"Deep Bay","DM2","1988-06-07","1","Surface Water","2.1","2.1","12","69","4.8","2600","2700","1.2","0.27","0.98","7.7","5.5","18.7","N/A","6.8","9.5","28.1","3.57","3","4.47","1.1","14","0.066","2"
"Deep Bay","DM2","1988-07-14","1","Surface Water","1.7","2","9.3","64","4.5","2500","2500","0.59","0.27","0.8","7.8","5.4","14.5","0.5","9.1","9","29.4","2.86","2.7","3.56","0.8","16.5","0.097","3.5"
"Deep Bay","DM2","1988-08-08","1","Surface Water","2.6","2.3","2.9","52","3.6","800","1200","0.58","0.32","0.66","7.5","3.2","13.6","0.3","6.8","59","30.2","3.2","2.8","3.7","0.79","55","0.062","7"
"Deep Bay","DM2","1988-09-12","1","Surface Water","4.5","0.26","71","114","8.1","N/A","N/A","0.82","0.37","0.23","8.8","13","10.6","0.6","2.3","22","29.9","1.45","1.3","2.49","0.47","24.5","0.084","5.5"
"Deep Bay","DM2","1988-10-10","1","Surface Water","1","0.42","2.1","98","7","1","1","0.37","0.12","0.2","8.2","2.6","26.2","1.8","2.9","8.5","25","0.91","0.72","1.21","0.25","3.2","0.032","3"
"Deep Bay","DM2","1988-11-24","1","Surface Water","1.9","1.8","3.1","83","6.6","74","84","0.52","0.16","0.43","N/A","1.5","27.9","N/A","4.3","56","18.8","2.48","2","2.68","0.55","62","N/A","7.5"
"Deep Bay","DM2","1988-12-09","1","Surface Water","2","1.5","3.3","80","6.7","880","970","0.49","0.15","0.33","8","1.8","25.9","N/A","4.3","67","16.8","2.14","1.7","2.34","0.53","76","0.038","15"
"Deep Bay","DM3","1988-01-22","1","Surface Water","1.6","0.006","6.5","79","6.3","50","80","<0.002","0.003","0.22","7.8","<0.2","29.2","N/A","1.7","23","18.2","0.01","1.7","1.71","0.33","16","0.001","8"
"Deep Bay","DM3","1988-02-25","1","Surface Water","1.3","0.35","1.1","97","7.6","1","1","0.26","0.059","0.1","8","0.7","31.1","N/A","1.3","11","17.8","0.67","0.39","0.71","0.15","3.9","0.009","3.5"
"Deep Bay","DM3","1988-03-11","1","Surface Water","0.5","1.2","1.7","100","8.3","830","850","0.4","0.13","0.29","7.8","0.8","30.5","N/A","1.3","31","15.6","1.73","1.3","1.83","0.35","4.2","0.017","13"
"Deep Bay","DM3","1988-04-14","1","Surface Water","0.9","1.3","0.6","73","5.8","78","80","0.52","0.071","0.41","7.7","1","26.7","N/A","3.5","15","19","1.89","2","2.59","0.57","32","0.017","2"
"Deep Bay","DM3","1988-05-20","1","Surface Water","2.6","0.046","14","103","6.7","6","6","0.95","0.016","0.022","8.3","4","12.6","0.8","4.9","5","27.5","1.01","0.57","1.54","0.08","9.5","0.005","2.5"
"Deep Bay","DM3","1988-05-20","1","Bottom Water","1.4","0.083","6.5","N/A","N/A","14","14","0.92","0.024","0.048","N/A","2.5","N/A","0.8","4.8","2","N/A","1.03","0.46","1.4","0.1","N/A","N/A","1"
"Deep Bay","DM3","1988-06-07","1","Surface Water","3.3","0.044","39","134","9.2","4","4","0.55","0.041","0.16","8.4","3.1","19.7","N/A","1.9","7","28.9","0.64","0.84","1.43","0.19","5.5","0.007","3"
"Deep Bay","DM3","1988-07-14","1","Surface Water","1.2","0.037","4.2","74","5.1","8","16","0.5","0.086","0.062","8","3.4","16.7","0.9","5.1","6.5","28.5","0.62","0.59","1.18","0.1","13","0.002","3.5"
"Deep Bay","DM3","1988-07-14","1","Bottom Water","0.4","0.075","1","N/A","N/A","80","84","0.43","0.085","0.066","N/A","0.8","N/A","0.9","4.8","15","N/A","0.59","0.41","0.93","0.1","N/A","N/A","4"
"Deep Bay","DM3","1988-08-08","1","Surface Water","1.1","1.6","1.5","68","4.7","16","16","0.84","0.2","0.46","7.7","1.5","15.4","0.4","6.3","10","29.7","2.64","1.9","2.94","0.49","12","0.066","1.5"
"Deep Bay","DM3","1988-09-12","1","Surface Water","2.5","0.031","55","143","10.2","N/A","N/A","0.35","0.059","<0.005","8.5","15","13.8","0.9","4.3","9","28.5","0.44","0.51","0.92","0.07","15","0.006","2.5"
"Deep Bay","DM3","1988-10-10","1","Surface Water","1.2","0.079","11","108","7.5","1","1","0.18","0.05","0.053","8.5","1.6","28.3","1.8","0.66","4","25","0.31","0.33","0.56","0.06","3.3","0.01","2.5"
"Deep Bay","DM3","1988-11-24","1","Surface Water","0.8","0.66","3.2","92","7.2","8","8","0.35","0.088","0.19","N/A","0.5","28.9","0.5","3.2","19","19","1.1","0.93","1.37","0.21","21.5","N/A","4"
"Deep Bay","DM3","1988-11-24","1","Bottom Water","0.7","0.64","5","N/A","N/A","18","20","0.34","0.089","0.18","N/A","1.2","N/A","0.5","3.2","22","N/A","1.07","0.86","1.29","0.2","N/A","N/A","4.5"
"Deep Bay","DM3","1988-12-09","1","Surface Water","1.8","0.69","3.1","88","7.3","26","26","0.49","0.095","0.27","8.1","1.8","27.3","N/A","3.5","26","16.8","1.28","0.82","1.41","0.3","42","0.022","5"
"Deep Bay","DM4","1988-01-22","1","Surface Water","0.7","0.53","1","85","6.6","480","510","0.2","0.11","0.19","8","<0.2","29.5","N/A","1.8","10","18.6","0.84","0.99","1.3","0.25","6","0.014","5"
"Deep Bay","DM4","1988-02-25","1","Surface Water","0.9","0.09","1.1","91","7.2","1","1","0.11","0.019","0.017","8","1","31.4","N/A","1","9.5","17.2","0.22","0.53","0.66","0.04","4.5","0.002","4"
"Deep Bay","DM4","1988-02-25","1","Bottom Water","0.9","0.056","1.1","90","7.1","10","10","0.085","0.019","0.013","8","0.7","32.1","N/A","0.75","23","17.1","0.16","0.46","0.56","0.03","4.9","0.001","5.5"
"Deep Bay","DM4","1988-03-11","1","Surface Water","0.3","0.26","1.1","93","7.8","1","1","0.33","0.027","0.041","7.9","0.2","30.8","N/A","1.9","12","16.9","0.62","0.67","1.03","0.13","2.8","0.005","5.5"
"Deep Bay","DM4","1988-03-11","1","Bottom Water","0.2","0.16","1.5","92","7.7","6","6","0.2","0.025","0.04","7.9","0.7","30.9","N/A","1.2","27","15.7","0.39","0.87","1.1","0.12","4.6","0.003","12"
"Deep Bay","DM4","1988-04-14","1","Surface Water","0.7","0.18","1.1","85","6.8","48","52","0.28","0.013","0.068","7.7","0.5","27.1","N/A","2.1","7","18.4","0.47","1.3","1.59","0.15","13","0.003","1.5"
"Deep Bay","DM4","1988-04-14","1","Bottom Water","0.7","0.099","1","83","6.7","410","420","0.22","0.012","0.039","7.9","0.6","28.5","N/A","1.7","7","17.9","0.33","0.78","1.01","0.13","16","0.002","1.5"
"Deep Bay","DM4","1988-05-20","1","Surface Water","2.1","0.028","5.9","109","7.1","4","4","0.92","0.015","0.011","8.4","4.2","14.1","1","4.5","1.5","27.6","0.96","0.41","1.35","0.05","7","0.004","1.5"
"Deep Bay","DM4","1988-05-20","1","Bottom Water","1","0.024","2.3","89","5.9","6","8","0.89","0.017","0.011","8.2","1.4","15.6","1","4.3","3.5","26.9","0.93","0.34","1.25","0.04","7.5","0.002","1"
"Deep Bay","DM4","1988-06-07","1","Surface Water","0.7","0.008","4","91","6.3","2","2","0.66","0.021","0.026","8.1","1.3","19.8","N/A","3.4","2.5","28.4","0.69","0.56","1.24","0.07","4.9","0.001","1"
"Deep Bay","DM4","1988-06-07","1","Bottom Water","0.8","0.015","5.1","83","5.7","640","650","0.58","0.017","0.012","8","1.9","25.2","N/A","2","12","27.5","0.61","0.59","1.19","0.04","14","0.001","2"
"Deep Bay","DM4","1988-07-14","1","Surface Water","0.8","0.12","3.2","70","4.9","530","590","0.49","0.1","0.13","8","1.3","17.8","0.8","5.3","11","28.5","0.71","0.58","1.17","0.14","15","0.007","3.5"
"Deep Bay","DM4","1988-07-14","1","Middle Water","0.7","0.086","1","N/A","N/A","360","390","0.47","0.092","0.089","N/A","2.1","N/A","0.8","4.9","8.5","N/A","0.65","0.53","1.09","0.11","N/A","N/A","2"
"Deep Bay","DM4","1988-07-14","1","Bottom Water","0.4","0.059","0.3","62","4.3","920","1000","0.25","0.058","0.036","8","2.3","25.2","0.8","2.9","26","26.7","0.37","0.51","0.82","0.05","29","0.003","4"
