"Water Control Zone","Station","Dates","Sample No","Depth","5-day Biochemical Oxygen Demand (mg/L)","Ammonia Nitrogen (mg/L)","Chlorophyll-a (μg/L)","Dissolved Oxygen (%saturation)","Dissolved Oxygen (mg/L)","E. coli (cfu/100mL)","Faecal Coliforms (cfu/100mL)","Nitrate Nitrogen (mg/L)","Nitrite Nitrogen (mg/L)","Orthophosphate Phosphorus (mg/L)","pH","Phaeo-pigments (μg/L)","Salinity (psu)","Secchi Disc Depth (M)","Silica (mg/L)","Suspended Solids (mg/L)","Temperature (°C)","Total Inorganic Nitrogen (mg/L)","Total Kjeldahl Nitrogen (mg/L)","Total Nitrogen (mg/L)","Total Phosphorus (mg/L)","Turbidity (NTU)","Unionised Ammonia (mg/L)","Volatile Suspended Solids (mg/L)"
"Deep Bay","DM1","1986-02-14","1","Surface Water","1.5","N/A","29","114","N/A","110","110","N/A","N/A","N/A","8.1","N/A","26.9","N/A","N/A","57","19.4","N/A","4.6","N/A","0.92","8.8","N/A","N/A"
"Deep Bay","DM1","1986-02-14","1","Middle Water","N/A","N/A","N/A","120","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","23.4","N/A","N/A","N/A","17.9","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"Deep Bay","DM1","1986-02-14","1","Bottom Water","N/A","N/A","N/A","118","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","24.1","N/A","N/A","N/A","17.8","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"Deep Bay","DM1","1986-05-07","1","Surface Water","2.3","N/A","4.5","43","3.1","560","780","0.4","0.15","N/A","7.6","<0.2","17.6","N/A","N/A","26","26.3","N/A","2.4","2.95","1.4","38","N/A","N/A"
"Deep Bay","DM1","1986-08-07","1","Surface Water","2.8","0.27","7.6","91","6.3","30","30","0.279","0.024","0.279","8.2","3.3","14.1","N/A","0.7","10","30.8","0.57","0.9","1.2","0.45","13","0.033","1.5"
"Deep Bay","DM1","1986-10-03","1","Surface Water","1.1","0.16","4","71","5.1","270","300","0.279","0.16","0.38","7.9","<0.2","22.2","N/A","4.3","18","25.8","0.6","1.5","1.94","0.64","40","0.006","2.5"
"Deep Bay","DM1","1986-12-18","1","Surface Water","4","3.899","3.1","45","3.4","38000","38000","0.119","0.589","1.1","7.6","2.8","24.8","0.3","5","78","19.3","4.61","4.2","4.91","2.1","59","0.043","11"
"Deep Bay","DM2","1986-02-14","1","Surface Water","1.7","N/A","12","125","N/A","<10","<10","N/A","N/A","N/A","8.2","N/A","29.5","N/A","N/A","32","17.8","N/A","1.3","N/A","0.3","1.2","N/A","N/A"
"Deep Bay","DM2","1986-02-14","1","Middle Water","N/A","N/A","N/A","129","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","29.5","N/A","N/A","N/A","17.9","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"Deep Bay","DM2","1986-02-14","1","Bottom Water","N/A","N/A","N/A","120","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","29.5","N/A","N/A","N/A","17.8","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
